,Unnamed: 0,movie_title,overview,genre
120,120,劇場版 呪術廻戦 0,yuta okkotsu nervou high school student suffer seriou problem — hi childhood friend rika turn curs wo nt leav alon sinc rika ordinari curs plight notic satoru gojo teacher jujutsu high school fledgl exorcist learn combat curs gojo convinc yuta enrol learn enough time confront curs haunt,"['Action', 'Animation', 'Fantasy']"
121,121,Star Wars,princess leia captur held hostag evil imperi forc effort take galact empir venturesom luke skywalk dash captain han solo team togeth loveabl robot duo r2d2 c3po rescu beauti princess restor peac justic empir,"['Action', 'Adventure', 'Science Fiction']"
122,122,The Prestige,mysteri stori two magician whose intens rivalri lead lifelong battl supremaci full obsess deceit jealousi danger deadli consequ,"['Drama', 'Mystery', 'Science Fiction']"
123,123,Ladri di biciclette,unemploy antonio elat final find work hang poster around wartorn rome howev first day bicycl — essenti work — get stolen job doom unless find thief help son antonio comb citi becom desper justic,['Drama']
124,124,The Help,aibileen clark middleag africanamerican maid spent life rais white children recent lost son minni jackson africanamerican maid often offend employ despit famili struggl money desper need job eugenia skeeter phelan young white woman recent move back home graduat colleg find childhood maid mysteri disappear three stori intertwin explain life jackson mississippi revolv around help yet alway kept certain distanc racial line,['Drama']
125,125,Shutter Island,world war ii soldierturnedu marshal teddi daniel investig disappear patient hospit crimin insan effort compromis troubl vision mysteri doctor,"['Drama', 'Mystery', 'Thriller']"
126,126,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,isabella daughter nobl york famili enrol allgirl academi groom dame worthi nobil howev given futur see prestigi school noth prison outsid world famili notic struggl lesson decid hire violet evergarden person tutor guis handmaiden first isabella treat violet coldli violet seem abl everyth perfectli lead isabella assum born silver spoon time isabella begin realiz violet struggl start open isabella soon reveal lost contact belov younger sister yearn see experienc power word past clientel violet ask isabella wish write letter taylor violet abl help isabella convey feel longlost sister,"['Animation', 'Drama', 'Fantasy']"
127,127,Persona,young nurs alma put charg elisabeth vogler actress seemingli healthi respect talk spend time togeth alma speak elisabeth constantli never receiv answer time spend togeth strengthen crush realiz one exist,['Drama']
128,128,Det sjunde inseglet,disillus swedish knight antoniu block return home crusad find countri grip black death challeng death chess match life torment belief god exist block set journey meet travel player jof wife mia becom determin evad death long enough commit one redempt act still live,"['Drama', 'Fantasy']"
129,129,Indagine su un cittadino al di sopra di ogni sospetto,rome itali commit heinou crime senior polic offic expos evid incrimin moral commit prevent circumv law social order protect,"['Drama', 'Thriller']"
130,130,Hacksaw Ridge,wwii american armi medic desmond doss serv battl okinawa refus kill peopl becom first conscienti objector american histori receiv congression medal honor,"['Drama', 'History', 'War']"
131,131,20세기 소녀,yeondu ask best friend bora collect inform baek hyunjin away us heart surgeri bora decid get close baek best friend pung woonho first howev bora clumsi plan unfold unexpect direct 1999 year new centuri bora turn seventeen fall fever first love,"['Drama', 'Romance']"
132,132,The Usual Suspects,held la interrog room verbal kint attempt convinc fed mythic crime lord keyser soze exist also respons draw four partner multimillion dollar heist end explos san pedro harbor – leav survivor verbal lure interrog incred stori crime lord almost supernatur prowess,"['Crime', 'Drama', 'Thriller']"
133,133,The Kid,tramp care boy he s abandon newborn mother later mother chang heart ach reunit son,"['Comedy', 'Drama']"
134,134,Memento,leonard shelbi track man rape murder wife difficulti locat wife killer howev compound fact suffer rare untreat form shortterm memori loss although recal detail life accid leonard can not rememb happen fifteen minut ago he s go,"['Mystery', 'Thriller']"
135,135,Michael Jackson's Thriller,night movi turn nightmar michael date attack hord bloodythirsti zombi,"['Horror', 'Music', 'Mystery']"
136,136,Minha Mãe é uma Peça 3: O Filme,dona hermínia rediscov reinvent children form new famili supermom deal new life scenario marcelina pregnant juliano get marri,['Comedy']
137,137,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,class 1a visit nabu island final get real hero work place peac like vacat … they re attack villain unfathom quirk power eerili familiar look like shigaraki hand plan might retir citizen live line there s time question deku friend next gener hero they re island hope,"['Action', 'Adventure', 'Animation', 'Fantasy']"
138,138,Doctor Who: The Day of the Doctor,2013 someth terribl awaken london nation galleri 1562 murder plot afoot elizabethan england somewher space ancient battl reach devast conclus realiti stake doctor danger past come back haunt,"['Adventure', 'Science Fiction']"
139,139,さよならの朝に約束の花をかざろう,maquia member special race call iorph live hundr year howev maquia alway felt lone despit surround peopl orphan young age daydream outsid world dare travel home due warn clan chief one day kingdom mezart invad homeland alreadi left giant dragon renato control king wish add immort bloodlin ravag iorph homeland kill inhabit caught midst attack maquia carri one renato soon die left desert forest truli alon save cri singl babi distanc maquia find babi destroy villag decid rais name ariel although know noth human world rais child age much faster,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Romance']"
140,140,Django Unchained,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner,"['Drama', 'Western']"
141,141,Voces inocentes,young boy effort normal childhood 1980 el salvador caught dramat fight life desper tri avoid war rage around,"['Drama', 'War']"
142,142,Scener ur ett äktenskap,johan mariann marri seem happi howev façad troubl relationship becom even rockier johan admit he s affair long spous separ move toward final divorc make attempt reconcil even pursu relationship johan mariann realiz signific bond also mani issu hinder connect,"['Drama', 'Romance']"
143,143,Vertigo,retir san francisco detect suffer acrophobia investig strang activ old friend wife becom danger obsess,"['Mystery', 'Romance', 'Thriller']"
144,144,東京物語,elderli shukishi wife tomi take long journey small seasid villag visit adult children tokyo elder son koichi doctor daughter shige hairdress do nt much time spend age parent fall noriko widow younger son kill war keep inlaw compani,['Drama']
145,145,Сталкер,near gray unnam citi zone place guard barb wire soldier normal law physic victim frequent anomali stalker guid two men zone specif area deepseat desir grant,"['Drama', 'Science Fiction']"
146,146,Scarface,get green card exchang assassin cuban govern offici toni montana stake claim drug trade miami vicious murder anyon stand way toni eventu becom biggest drug lord state control nearli cocain come miami increas pressur polic war colombian drug cartel drugfuel paranoia serv fuel flame eventu downfal,"['Action', 'Crime', 'Drama']"
